
2024/09/05 (21:33:23) | ===> btop++ v.1.3.2
2024/09/05 (21:33:23) | WARNING: Failed to get disk/partition stats for mount "/mnt/unraid" with statvfs error code: 13. Ignoring...

2024/10/10 (16:57:49) | ===> btop++ v.1.4.0
2024/10/10 (16:57:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (17:06:47) | ===> btop++ v.1.4.0
2024/10/10 (17:06:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (17:04:36) | ===> btop++ v.1.4.0
2024/10/11 (17:04:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (15:48:16) | ===> btop++ v.1.4.0
2024/10/16 (15:48:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (19:54:33) | ===> btop++ v.1.4.0
2024/10/19 (19:54:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (13:27:16) | ===> btop++ v.1.4.0
2024/10/21 (13:27:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (12:03:17) | ===> btop++ v.1.4.0
2024/10/23 (12:03:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (11:33:35) | ===> btop++ v.1.4.0
2024/10/24 (11:33:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:09:40) | ===> btop++ v.1.4.0
2024/10/27 (16:09:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:12:36) | ===> btop++ v.1.4.0
2024/10/27 (16:12:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:13:03) | ===> btop++ v.1.4.0
2024/10/27 (16:13:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:14:06) | ===> btop++ v.1.4.0
2024/10/27 (16:14:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:18:59) | ===> btop++ v.1.4.0
2024/10/27 (16:18:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:34:10) | ===> btop++ v.1.4.0
2024/10/27 (16:34:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (21:35:55) | ===> btop++ v.1.4.0
2024/10/30 (21:35:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (11:30:57) | ===> btop++ v.1.4.0
2024/10/31 (11:30:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (19:32:42) | ===> btop++ v.1.4.0
2024/11/01 (19:32:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:19:54) | ===> btop++ v.1.4.0
2024/11/04 (12:19:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:20:16) | ===> btop++ v.1.4.0
2024/11/04 (12:20:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:36:58) | ===> btop++ v.1.4.0
2024/11/04 (12:36:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:55:12) | ===> btop++ v.1.4.0
2024/11/09 (21:55:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:58:04) | ===> btop++ v.1.4.0
2024/11/09 (21:58:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (10:57:15) | ===> btop++ v.1.4.0
2024/11/10 (10:57:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (11:34:48) | ===> btop++ v.1.4.0
2024/11/10 (11:34:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (12:10:35) | ===> btop++ v.1.4.0
2024/11/10 (12:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (11:02:18) | ===> btop++ v.1.4.0
2024/11/11 (11:02:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (14:34:32) | ===> btop++ v.1.4.0
2024/11/13 (14:34:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (14:39:47) | ===> btop++ v.1.4.0
2024/11/13 (14:39:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (14:57:26) | ===> btop++ v.1.4.0
2024/11/13 (14:57:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (15:00:40) | ===> btop++ v.1.4.0
2024/11/13 (15:00:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (15:01:30) | ===> btop++ v.1.4.0
2024/11/13 (15:01:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (16:57:33) | ===> btop++ v.1.4.0
2024/11/13 (16:57:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (20:31:00) | ===> btop++ v.1.4.0
2024/11/13 (20:31:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:57:19) | ===> btop++ v.1.4.0
2024/11/14 (11:57:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:59:04) | ===> btop++ v.1.4.0
2024/11/14 (11:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (12:38:15) | ===> btop++ v.1.4.0
2024/11/14 (12:38:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (20:29:15) | ===> btop++ v.1.4.0
2024/11/20 (20:29:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (20:29:55) | ===> btop++ v.1.4.0
2024/11/20 (20:29:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (20:30:14) | ===> btop++ v.1.4.0
2024/11/20 (20:30:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (20:30:38) | ===> btop++ v.1.4.0
2024/11/20 (20:30:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (11:41:11) | ===> btop++ v.1.4.0
2024/11/21 (11:41:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (16:19:11) | ===> btop++ v.1.4.0
2024/11/23 (16:19:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (16:19:47) | ===> btop++ v.1.4.0
2024/11/23 (16:19:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (18:28:01) | ===> btop++ v.1.4.0
2024/11/23 (18:28:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (18:33:31) | ===> btop++ v.1.4.0
2024/11/23 (18:33:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (21:48:32) | ===> btop++ v.1.4.0
2024/11/25 (21:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (10:28:48) | ===> btop++ v.1.4.0
2024/11/26 (10:28:48) | WARNING: Intel GPU: Failed to initialize PMU
